Band,Subject,Unit,AreaofStudy,Code,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OKEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,Techniques and strategies,,1,5
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,The role of visuals in supporting argument,,1,6
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OKEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,The role of visuals in supporting argument,,1,6
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,The ways authors employ arguments to position intended audiences,,1,7
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OKEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,The ways authors employ arguments to position intended audiences,,1,7
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"The elements of audio and audio visual texts that contribute to a persuasive effect including intonation, volume, pace, pausing and stress",,1,8
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OKEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"The elements of audio and audio visual texts that contribute to a persuasive effect including intonation, volume, pace, pausing and stress",,1,8
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,The impact of context on the presentation of arguments,,1,9
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OKEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,The impact of context on the presentation of arguments,,1,9
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,The conventions of discussion and debate such as active listening and questioning,,1,10
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OKEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,The conventions of discussion and debate such as active listening and questioning,,1,10
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,The features of an analytical response to texts that present an argument,,1,11
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OKEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,The features of an analytical response to texts that present an argument,,1,11
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,The features of a point of view text for oral presentation,,1,12
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OKEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,The features of a point of view text for oral presentation,,1,12
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"The conventions of syntax, punctuation and spelling of Standard Australian English.",,1,13
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OKEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"The conventions of syntax, punctuation and spelling of Standard Australian English.",,1,13
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Summarise the key points in arguments using skills such as note-taking and annotation,,1,1
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Summarise the key points in arguments using skills such as note-taking and annotation,,1,1
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Identify, explore and apply:",,1,2
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Identify, explore and apply:",,1,2
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,The intent and logical development of contention and supporting arguments,"identify, explore and apply:",2,3
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,The intent and logical development of contention and supporting arguments,"identify, explore and apply:",2,3
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,The evidence used by authors to support arguments,"identify, explore and apply:",2,4
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,The evidence used by authors to support arguments,"identify, explore and apply:",2,4
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,The strategies used by authors to position an intended audience,"identify, explore and apply:",2,5
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,The strategies used by authors to position an intended audience,"identify, explore and apply:",2,5
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,The language used by authors to position an intended audience,"identify, explore and apply:",2,6
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,The language used by authors to position an intended audience,"identify, explore and apply:",2,6
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,The visuals used to position an audience,"identify, explore and apply:",2,7
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,The visuals used to position an audience,"identify, explore and apply:",2,7
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,The ways an audience is positioned,"identify, explore and apply:",2,8
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,The ways an audience is positioned,"identify, explore and apply:",2,8
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"The elements of spoken language that can contribute to persuasion including intonation, volume, pace, pausing and stress","identify, explore and apply:",2,9
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"The elements of spoken language that can contribute to persuasion including intonation, volume, pace, pausing and stress","identify, explore and apply:",2,9
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Apply the conventions of discussion and debate,,1,10
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Apply the conventions of discussion and debate,,1,10
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Use appropriate evidence to support analytical writing,,1,11
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Use appropriate evidence to support analytical writing,,1,11
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Extend individual capacity to use language confidently,,1,12
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Extend individual capacity to use language confidently,,1,12
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Acquire and apply relevant metalanguage,,1,13
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Acquire and apply relevant metalanguage,,1,13
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Develop an analysis of persuasive texts,,1,14
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Develop an analysis of persuasive texts,,1,14
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Draft, review, edit and refine analytical writing using feedback gained from individual reflection, and peer and teacher feedback",,1,15
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Draft, review, edit and refine analytical writing using feedback gained from individual reflection, and peer and teacher feedback",,1,15
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Develop sound and sequential argument, including appropriate use of evidence and language",,1,16
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Develop sound and sequential argument, including appropriate use of evidence and language",,1,16
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Plan, draft and refine a point of view text for oral presentation",,1,17
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Plan, draft and refine a point of view text for oral presentation",,1,17
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Apply the conventions of syntax, punctuation and spelling of Standard Australian English.",,1,18
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Apply the conventions of syntax, punctuation and spelling of Standard Australian English.",,1,18
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Assessment,,1,19
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Assessment,,1,19
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,The award of satisfactory completion for a unit is based on whether the student has demonstrated the set of outcomes specified for the unit. Teachers should use a variety of learning activities and assessment tasks that provide a range of opportunities for students to demonstrate the key knowledge and key skills in the outcomes.,,1,20
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,The award of satisfactory completion for a unit is based on whether the student has demonstrated the set of outcomes specified for the unit. Teachers should use a variety of learning activities and assessment tasks that provide a range of opportunities for students to demonstrate the key knowledge and key skills in the outcomes.,,1,20
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"The areas of study, including the key knowledge and key skills listed for the outcomes, should be used for course design and the development of learning activities and assessment tasks. Assessment must be a part of the regular teaching and learning program and should be completed mainly in class and within a limited timeframe.",,1,21
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"The areas of study, including the key knowledge and key skills listed for the outcomes, should be used for course design and the development of learning activities and assessment tasks. Assessment must be a part of the regular teaching and learning program and should be completed mainly in class and within a limited timeframe.",,1,21
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,All assessments at Units 1 and 2 are school-based. Procedures for assessment of levels of achievement in Units 1 and 2 are a matter for school decision.,,1,22
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,All assessments at Units 1 and 2 are school-based. Procedures for assessment of levels of achievement in Units 1 and 2 are a matter for school decision.,,1,22
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,English students,,1,23
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,English students,,1,23
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,For this unit students are required to demonstrate two outcomes. As a set these outcomes encompass the areas of study in the unit.,,1,24
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,For this unit students are required to demonstrate two outcomes. As a set these outcomes encompass the areas of study in the unit.,,1,24
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Suitable tasks for assessment in this unit include a combination of:,,1,25
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Suitable tasks for assessment in this unit include a combination of:,,1,25
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,An analytical response to a set text,,1,26
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,An analytical response to a set text,,1,26
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"A set of annotated persuasive texts (including visual texts) that identify arguments, vocabulary, text structures and language features",,1,27
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"A set of annotated persuasive texts (including visual texts) that identify arguments, vocabulary, text structures and language features",,1,27
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,An analysis of the use of argument and persuasive language and techniques in text(s),,1,28
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,An analysis of the use of argument and persuasive language and techniques in text(s),,1,28
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,An oral presentation of a point of view text.,,1,29
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,An oral presentation of a point of view text.,,1,29
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Where teachers allow students to choose between tasks they must ensure that the tasks they set are of comparable scope and demand.,,1,30
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Where teachers allow students to choose between tasks they must ensure that the tasks they set are of comparable scope and demand.,,1,30
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,EAL students,,1,31
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,EAL students,,1,31
