SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitASCode,AreaofStudy,Outcome,OutcomeCode,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS3,Area of Study 3 - Analysing a theatre production in performance,Outcome 3,VCETSU1AS3O3KS,DetailedExampleStep,Bullet,"Contrast: Identify moments where contrast was used to highlight differences in themes, characters or settings. Discuss how contrasting elements (such as lighting, sound and costume) created dramatic tension and enhanced the audience's understanding of the play.",,,,21
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS3,Area of Study 3 - Analysing a theatre production in performance,Outcome 3,VCETSU1AS3O3KS,DetailedExampleStep,Bullet,"Emphasis: Identify key moments where emphasis was placed using lighting, sound, positioning or other elements. Discuss how emphasis directed the audience's attention and supported the overall message of the performance.",,,,22
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS3,Area of Study 3 - Analysing a theatre production in performance,Outcome 3,VCETSU1AS3O3KK,DetailedExampleStep,Paragraph,Group discussions:,,,,23
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS3,Area of Study 3 - Analysing a theatre production in performance,Outcome 3,VCETSU1AS3O3KS,DetailedExampleStep,Paragraph,"In groups, students discuss their findings, comparing notes on how the elements were used in the performance. Each group focuses on one element and prepares a short presentation on their observations. Groups present their findings to the class, receiving feedback on their analysis. This collaborative approach will help students see different perspectives and refine their analytical skills.",,,,24
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2,,,,,UnitHeading,Unit 2 Contemporary theatre styles and movements,,,,1
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,,,OutcomeHeading,Outcome 1:,,,,1
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,,,OutcomeDescription,Identify and describe the distinguishing features of distinct theatre styles and/or the characteristics of a theatre movement(s) through scripts written from 1945 to the present day.,,,,2
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,Activity,Paragraph,Example of learning activities,,,,3
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,Activity,Paragraph,Introducing the concept of theatre movements,,,,4
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,Activity,Bullet,"Categorise various theatre productions from different companies in Victoria (such as Melbourne Theatre Company, Malthouse Theatre, Red Stitch Actors' Theatre, Theatre Works, La Mama, Ilbijerri Theatre Company, Arena Theatre Company and so on) to identify any emerging trends that may indicate a distinct theatre movement. Discuss, as a class, the similarities and differences in subject matter and intended meanings of such theatre movements. Create a list of characteristics that define the theatre movement associated with these companies.",,,,5
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,Activity,Paragraph,Exploring audience and audience culture,,,,6
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,Activity,Bullet,"Brainstorm the different demographics of people who might attend theatre and their expectations and interests when watching a live performance. Watch a performance clip available online and discuss how various demographics might respond to it. Consider who the intended audience and audience culture might be for the show. Apply this knowledge to the study of a contemporary Asian theatre movement by examining excerpts from Mary Zimmerman's The White Snake and Diana Nguyen's Laurinda. In groups, brainstorm how to stage these moments, considering specific audience demographics.",,,,7
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,Activity,Paragraph,Exploring playwrights' influences,,,,8
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,Activity,Bullet,Read or watch interviews with Lin-Manuel Miranda on the creation of Hamilton and Anna Ziegler on Photograph 51. Discuss the influences that led these playwrights to revisit and retell historical stories. Create an infographic of features derived from these discussions to explore the revisionist history theatre movement.,,,,9
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,Activity,Bullet,Influence of context,,,,10
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,Activity,Paragraph,"Explore the theatre movement focused on climate and the environment through Lynn Nottage's Mlima's Tale and David Finnigan's The Climate Era. Assign specific roles related to dramaturgy, such as examining the structure of the script; researching historical, cultural and political contexts; or reviewing previous productions and their critiques. Present findings through an oral presentation supported by a mood board that consolidates this research.",,,,11
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,Activity,Bullet,From page to stage,,,,12
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,Activity,Paragraph,"Using images or clips from past productions of Mlima's Tale and The Climate Era, brainstorm how various elements within the images were developed. Link the final product to the script's language, structure, historical context and conventions of style. Discuss how these factors may have influenced the design choices.",,,,13
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExample,Paragraph,Exploring playwrights' influences: revisionist history as a theatre movement,,,,14
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Paragraph,"This learning activity is designed to help students understand the relevance of theatre movements, such as revisionist history, in a modern context. The aim is to move from surface-level learning to a deeper comprehension by connecting intended meaning, context, style, and the roles of production in interpreting scripts. This structured approach will guide students through a comprehensive exploration of revisionist history in theatre, enhancing their analytical skills and contextual understanding. Note: This sample activity focuses on the plays Photograph 51 and Hamilton but teachers can choose their own plays for comparison and discussion.",,,,15
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Paragraph,Research and initial brainstorming,,,,16
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Paragraph,Definition and background:,,,,17
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Bullet,Students research the definition of revisionist history in literature and performance.,,,,18
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Bullet,They brainstorm and compile a list of revisionist history texts they may have encountered.,,,,19
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Paragraph,Playwright interviews:,,,,20
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Paragraph,Students watch or read interviews with playwrights who have created revisionist history plays. For example:,,,,21
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Bullet,Anna Ziegler (or an interview with the lead actor) discussing 'Photograph 51'.,,,,22
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Bullet,Lin-Manuel Miranda discussing 'Hamilton'.,,,,23
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Paragraph,Discussion and reflection,,,,24
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KS,DetailedExampleStep,Paragraph,Students discuss and reflect on the following questions:,,,,25
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Bullet,What are the intended meanings of the playwrights?,,,,26
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Bullet,Why did the playwrights choose to revisit these historical moments?,,,,27
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Bullet,What were the political and/or social impacts of their research and intention?,,,,28
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Bullet,Who might be the intended audience for these plays?,,,,29
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Bullet,What deliberate impacts might the playwrights aim to achieve through their performances?,,,,30
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Paragraph,Generate characteristics,,,,31
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KS,DetailedExampleStep,Paragraph,Students generate a list of characteristics that define a revisionist history theatre movement.,,,,32
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Paragraph,Analysis of stage representations,,,,33
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Paragraph,Play clips,,,,34
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Bullet,Students watch clips from the two plays and discuss how the characteristics of the revisionist history movement are represented on stage. Examples include:,,,,35
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Bullet,Photograph 51' Trailer from Seattle Repertory Theatre,Students watch clips from the two plays and discuss how the characteristics of the revisionist history movement are represented on stage. Examples include:,,,36
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Bullet,Photograph 51' Scene,Students watch clips from the two plays and discuss how the characteristics of the revisionist history movement are represented on stage. Examples include:,,,37
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Bullet,Hamilton Clip 1 and Clip 2,Students watch clips from the two plays and discuss how the characteristics of the revisionist history movement are represented on stage. Examples include:,,,38
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Paragraph,Infographic creation,,,,39
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Bullet,Students research contemporary contexts relevant to the two plays to deepen their understanding of the significance of the movement. Areas of focus include:,,,,40
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Bullet,The historical role of women in science,Students research contemporary contexts relevant to the two plays to deepen their understanding of the significance of the movement. Areas of focus include:,,,41
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Bullet,Feminist movements,Students research contemporary contexts relevant to the two plays to deepen their understanding of the significance of the movement. Areas of focus include:,,,42
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Bullet,The importance of minority voices,Students research contemporary contexts relevant to the two plays to deepen their understanding of the significance of the movement. Areas of focus include:,,,43
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Bullet,American history and its influence on contemporary society.,Students research contemporary contexts relevant to the two plays to deepen their understanding of the significance of the movement. Areas of focus include:,,,44
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Paragraph,Contextual research,,,,45
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Paragraph,Contemporary contexts,,,,46
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS1,Area of Study 1 - Exploring contemporary theatre styles and/or movements,Outcome 1,VCETSU2AS1O1KK,DetailedExampleStep,Bullet,Students create an infographic that demonstrates their understanding of the revisionist history theatre movement. The infographic should include examples from Photograph 51 and Hamilton.,,,,47
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,,,OutcomeHeading,Outcome 2:,,,,1
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,,,OutcomeDescription,Work in production roles to interpret scripts from theatre styles or movements from 1945 to the present day.,,,,2
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,Activity,Paragraph,Example of learning activities,,,,3
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,Activity,Paragraph,Experimenting with the elements of theatre composition,,,,4
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,Activity,Bullet,"Read and annotate the opening scene of Lynn Nottage's Mlima's Tale. Focus on key language elements that convey intended meaning, setting and context, as well as the potential application of the elements of theatre composition. Use your annotations to devise a performance that uses these elements to effectively communicate the intended meaning, setting and context.",,,,5
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,Activity,Paragraph,Referencing dramaturgy,,,,6
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,Activity,Bullet,"Create a visualisation of dramaturgy (such as a mood board or an infographic) to capture your research. Display these dramaturgy visuals as a reference throughout the process of interpreting the performance. Maintain a reflection journal on the production process, regularly linking and referencing your dramaturgy insights.",,,,7
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,Activity,Paragraph,Deciding on a documentation tool,,,,8
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KS,Activity,Bullet,"Analyse different methods for documenting your processes when interpreting a script using a PMI (Positives, Minus and Interesting) table. Reflect on which documentation method aligns best with your organisational approach to documenting and interpreting theatre.",,,,9
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,Activity,Paragraph,Planning for collaboration,,,,10
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,Activity,Bullet,"List the tasks required for different stages of the production process related to your chosen production roles. Create a timeline (such as a Gantt Chart) to visualise each role's tasks and deadlines. Annotate the timeline to indicate moments of required collaboration to ensure the planning, development and presentation stages progress smoothly. For example, deciding on a colour palette for a show will require input from all designers and the director.",,,,11
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,Activity,Paragraph,Exploring cultural safety and inclusion,,,,12
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,Activity,Bullet,Research the various cultures represented in Lynn Nottage's Mlima's Tale. Reflect on your personal identity and how it connects to the cultural identities depicted in the play. Investigate appropriate ways to portray on stage cultures that are different from your own. Generate questions and concerns about staging the performance and reflect on your own positionality in relation to the play's content. Discuss these questions and concerns to ensure respectful and accurate representation.,,,,13
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,DetailedExample,Paragraph,Experimenting with elements of theatre composition,,,,14
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,DetailedExampleStep,Paragraph,This activity focuses on interpreting a script through the lens of the theatre movement for climate change and the environment. It uses Lynn Nottage's Mlima's Tale as the text for exploration. The goal is for students to actively engage with the script and use elements of theatre composition to enhance their understanding and interpretation.,,,,15
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,DetailedExampleStep,Paragraph,Initial script exploration,,,,16
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,DetailedExampleStep,Paragraph,Reading and annotation,,,,17
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,DetailedExampleStep,Bullet,"Students read and annotate the opening scene of Mlima's Tale, focusing on key language elements that convey meaning, setting, context and style conventions.",,,,18
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,DetailedExampleStep,Paragraph,Movement features,,,,19
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,DetailedExampleStep,Bullet,"Moving from planning into development, students explore the application of their assigned element in the rehearsal room. Splitting the group in half, each group has 20 minutes to explore the element in a rehearsal context and consider how it can be physically applied.",,,,20
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,DetailedExampleStep,Paragraph,Ethical practices,,,,21
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,DetailedExampleStep,Bullet,The two groups then perform their moment(s) from the script and analyse each group's application of the element.,,,,22
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,DetailedExampleStep,Paragraph,Exploring possibilities through workshops for design,,,,23
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,DetailedExampleStep,Paragraph,Group work,,,,24
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,DetailedExampleStep,Bullet,"Students work in small groups, each assigned one or two elements of theatre composition to experiment with. Looking at their recent script annotations, students consider how two to three moments of the play can be interpreted from an acting or directing perspective. Considering their allocated element, students workshop how the element could be applied through either the portrayal of character(s) or directorial blocking in that key moment(s).",,,,25
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,DetailedExampleStep,Bullet,"Moving from planning into development, students explore the application of their assigned element in the rehearsal room. Splitting the group in half, each group has 20 minutes to explore the element in a rehearsal context and consider how it can be physically applied.",,,,26
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,DetailedExampleStep,Bullet,The two groups then perform their moment(s) from the script and analyse each group's application of the element.,,,,27
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,DetailedExampleStep,Paragraph,Exploring possibilities through workshops for design,,,,28
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,DetailedExampleStep,Paragraph,Visual concepts,,,,29
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,DetailedExampleStep,Bullet,"Students work in small groups to create initial design concepts using visual mediums such as sketches, mood boards or inspiration boards. Where possible, ideas should be annotated to outline application to the play's context and style.",,,,30
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,DetailedExampleStep,Paragraph,Design pitch,,,,31
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,DetailedExampleStep,Bullet,"Groups pitch their design ideas, explaining how their visual concepts use elements of theatre composition to enhance context, intended meanings, and the theatre movement's features or style conventions.",,,,32
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,DetailedExampleStep,Paragraph,Production team development,,,,33
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU2AS2O2KK,DetailedExampleStep,Bullet,"As a class, students consider how the work of the directors, actors and designers could cohesively represent the work on stage and, from the initial explorations on script, production roles and elements of theatre composition, they engage in analytical discussion focusing on the ideas are currently emerging.",,,,34
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS3,Area of Study 3 - Analysing and evaluating a theatre production,Outcome 3,,,OutcomeHeading,Outcome 3:,,,,1
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS3,Area of Study 3 - Analysing and evaluating a theatre production,Outcome 3,,,OutcomeDescription,Analyse and evaluate a theatre production.,,,,2
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS3,Area of Study 3 - Analysing and evaluating a theatre production,Outcome 3,VCETSU2AS3O3KK,Activity,Paragraph,Example of learning activities,,,,3
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS3,Area of Study 3 - Analysing and evaluating a theatre production,Outcome 3,VCETSU2AS3O3KK,Activity,Paragraph,Analysing exemplars,,,,4
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS3,Area of Study 3 - Analysing and evaluating a theatre production,Outcome 3,VCETSU2AS3O3KK,Activity,Bullet,"Begin by annotating samples of theatre analytical and evaluative writing. Pay attention to the distinct features and techniques used in each type of writing. After annotating, engage in a class discussion to explore the similarities and differences between the analytical and evaluative responses. This discussion should focus on how each type serves its unique purpose and how each one is structured.",,,,5
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS3,Area of Study 3 - Analysing and evaluating a theatre production,Outcome 3,VCETSU2AS3O3KK,Activity,Paragraph,Impact of audience and audience culture,,,,6
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS3,Area of Study 3 - Analysing and evaluating a theatre production,Outcome 3,VCETSU2AS3O3KK,Activity,Bullet,"Start by reading the synopsis of the play that is to be viewed, along with any available educational materials or interviews with the playwright. Use these resources to brainstorm the values that the performance invites the audience to consider, the target audience for the play, and the potential actions the play might encourage after viewing. Identify the demographics that might attend the play and reflect on how these groups might respond to the performance, considering their expectations and values.",,,,7
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS3,Area of Study 3 - Analysing and evaluating a theatre production,Outcome 3,VCETSU2AS3O3KK,Activity,Paragraph,Practise analysing and evaluating,,,,8
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS3,Area of Study 3 - Analysing and evaluating a theatre production,Outcome 3,VCETSU2AS3O3KK,Activity,Bullet,"Examine clips from different performances through the perspective of specific production roles. Focus on how each role contributes to the overall meaning for the audience. Write an analytical paragraph based on your observations, and then revise it to include evaluative aspects. Compare the original analytical paragraph with the edited evaluative one to understand how the different approaches affect the interpretation.",,,,9
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS3,Area of Study 3 - Analysing and evaluating a theatre production,Outcome 3,VCETSU2AS3O3KK,Activity,Paragraph,Exploring from page to stage,,,,10
Performing Arts,Theatre Studies,,,Year 11,Unit 2,VCETSU2AS3,Area of Study 3 - Analysing and evaluating a theatre production,Outcome 3,VCETSU2AS3O3KK,Activity,Bullet,"Read selected script excerpts from the performance to be viewed. Make predictions about how these excerpts might be interpreted when staged. Research past productions and promotional materials related to the play to refine your predictions and expectations. After viewing the performance, discuss how the interpretations of the script excerpts matched or differed from your predictions. Compare your expectations with the actual on-stage presentation.",,,,11
