SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W08,Experiment with different tenses and use some common irregular past tense verbs correctly,,"Experimenting with more complex tenses, with varying accuracy; for example, using elaborated tenses (e.g. in ‘I have been to …’) and negatives (e.g. incorrectly in ‘They didn’t had …’)"
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W09,Use basic qualifiers and quantifiers to express a range of meaning,,Using basic qualifiers to express degrees of meaning such as ‘very’ and ‘a little’
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W09,Use basic qualifiers and quantifiers to express a range of meaning,,Using a narrow range of quantifiers to express amounts such as ‘some’ and ‘all’
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W10,Use a range of simple subject-specific vocabulary,,"Using related subject-specific terms accurately, for example ‘Tadpoles have gills and frogs have lungs.’"
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W10,Use a range of simple subject-specific vocabulary,,Matching subject-specific words to definitions or labelling diagrams
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W10,Use a range of simple subject-specific vocabulary,,"Combining known words to create degrees of emphasis or nuance, for example ‘very, very sad’"
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W11,Use graphophonic knowledge to attempt to spell unfamiliar words,,"Spelling frequently used words, and one- and 2-syllable words with common patterns, with reasonable accuracy"
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W11,Use graphophonic knowledge to attempt to spell unfamiliar words,,"Providing the sounds for less common phoneme–grapheme correspondences such as ‘ight’, and using them in writing"
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W11,Use graphophonic knowledge to attempt to spell unfamiliar words,,Using knowledge of phoneme–grapheme correspondences and common letter groups to attempt to spell unfamiliar words
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W11,Use graphophonic knowledge to attempt to spell unfamiliar words,,"Using context and syntactic knowledge to spell homophones such as ‘break’ and ‘brake’, ‘ate’ and ‘eight’"
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W11,Use graphophonic knowledge to attempt to spell unfamiliar words,,Referring to classroom charts and a personal vocabulary list to check or confirm spelling
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W12,Use common punctuation with some consistency,,Using commas consistently in lists or to indicate pauses
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W12,Use common punctuation with some consistency,,"Using question marks to indicate questions, with occasional inaccuracy (e.g. ‘She asked me to borrow a pencil?’)"
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W12,Use common punctuation with some consistency,,Correcting capital letters and full stops when reviewing their own or others’ writing
English,English as an Additional Language,Level C1,Writing,Plurilingual and cultural strategies,VC2EALC1W13,Use the features of simple text types appropriately,,"Using learnt text structures or model texts to begin writing independently; for example, attempting to use past tense in a recount"
English,English as an Additional Language,Level C1,Writing,Plurilingual and cultural strategies,VC2EALC1W13,Use the features of simple text types appropriately,,Using vocabulary items that are appropriate to a topic and text in shared writing
English,English as an Additional Language,Level C1,Writing,Plurilingual and cultural strategies,VC2EALC1W14,"Revise and edit texts with support, incorporating corrections and suggestions",,"Following the teacher’s feedback to edit their own work; for example, correcting spelling and changing word order"
English,English as an Additional Language,Level C1,Writing,Plurilingual and cultural strategies,VC2EALC1W14,"Revise and edit texts with support, incorporating corrections and suggestions",,"Checking subject texts, classroom charts and a personal vocabulary list for subject-specific vocabulary"
English,English as an Additional Language,Level C1,Writing,Plurilingual and cultural strategies,VC2EALC1W14,"Revise and edit texts with support, incorporating corrections and suggestions",,"Recording frequently used vocabulary in a personal vocabulary list using English, a home language and details such as an image or pronunciation"
English,English as an Additional Language,Level C1,Writing,Plurilingual and cultural strategies,VC2EALC1W14,"Revise and edit texts with support, incorporating corrections and suggestions",,"Consulting bilingual dictionaries, charts, vocabulary lists, peers and the teacher to find and check the spelling and meanings of words"
English,English as an Additional Language,Level C1,Writing,Plurilingual and cultural strategies,VC2EALC1W14,"Revise and edit texts with support, incorporating corrections and suggestions",,Writing notes in a home language about meaning and pronunciation when encountering unfamiliar words in texts
English,English as an Additional Language,Level C1,Writing,Plurilingual and cultural strategies,VC2EALC1W15,Draw on a range of home language resources when writing,,Asking home language peers or the teacher for the English translation and spelling of a home language word
English,English as an Additional Language,Level C1,Writing,Plurilingual and cultural strategies,VC2EALC1W15,Draw on a range of home language resources when writing,,Asking home language peers to explain an idea in a home language and asking for a translation into English
English,English as an Additional Language,Level C1,Writing,Plurilingual and cultural strategies,VC2EALC1W16,Participate in teacher-led writing activities,,"Participating in a range of shared writing activities, for example in joint construction of a text, sequencing sentences in a group and peer editing"
English,English as an Additional Language,Level C1,Writing,Plurilingual and cultural strategies,VC2EALC1W16,Participate in teacher-led writing activities,,Suggesting new ideas that relate to the topic being discussed
English,English as an Additional Language,Level C1,Writing,Plurilingual and cultural strategies,VC2EALC1W16,Participate in teacher-led writing activities,,Using checklists to review their own or peers’ writing
English,English as an Additional Language,Level C1,Writing,Plurilingual and cultural strategies,VC2EALC1W16,Participate in teacher-led writing activities,,Reading text to the teacher or peers and making changes to the original text based on feedback
English,English as an Additional Language,Level C1,Writing,Plurilingual and cultural strategies,VC2EALC1W16,Participate in teacher-led writing activities,,Applying knowledge of vocabulary and grammar to edit shared texts
